schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp,feature_block
1,2026-09-04T08:46:23.870042+00:00,0.02,6,3,5058,20267062,1051,266,85,21,0,305,746,54,212,3,18,157,157,0,2.8554429188370705,2.8554429188370705,0.0,4028,False,[],1896.382556438446,0.7593984962406015,0.6627358490566038,0.6515188733316957,0.8454106280193237,0.16803328158149067,0.7991352201257861,0.5143383798428249,27,27,37,175,0.7619047619047619,0.7222222222222222,0.6464646464646464,0.8484848484848485,0.17237724550055264,0.8148148148148148,0.5279789944728902,2,1,4,14,B
1,2026-09-04T09:19:59.044114+00:00,0.02,6,4,5058,20267159,1091,226,85,21,0,292,799,67,159,5,16,133,133,0,3.510666644317098,3.510666644317098,0.0,3377,False,[],2015.1497871875763,0.584070796460177,0.5705435088707407,0.5525318055438537,0.6713286713286714,0.24589015695014824,0.587721768515911,0.6956998937188993,36,31,63,96,0.6190476190476191,0.6125,0.5714285714285714,0.7142857142857143,0.2434975948989391,0.525,0.6828069748277377,3,2,6,10,B
1,2026-09-04T09:53:57.756330+00:00,0.02,6,5,5058,20267256,1025,292,85,21,0,282,743,77,215,5,16,131,131,0,3.0348563552543055,3.0348563552543055,0.0,4211,False,[],2038.6788687705994,0.7534246575342466,0.7617034128662036,0.7206632653061225,0.8163265306122449,0.18775455544757405,0.8257928118393235,0.5587950099055656,60,17,55,160,0.8095238095238095,0.80625,0.7666666666666666,0.8666666666666667,0.16798822604797403,0.9,0.5195540444446018,4,1,3,13,B
1,2026-09-04T10:22:35.546702+00:00,0.02,7,1,6067,20267877,1012,305,84,22,0,288,724,71,234,4,18,127,127,0,3.133072909520706,3.133072909520706,0.0,3449,False,[],1717.754183292389,0.6754098360655738,0.5677139761646804,0.5643422932086741,0.7843137254901961,0.223193383990777,0.5356325990128807,0.6458313851528454,26,45,54,180,0.7272727272727273,0.5416666666666667,0.5416666666666667,0.8333333333333334,0.20276814154917505,0.4583333333333333,0.6010027200487335,1,3,3,15,B
1,2026-09-04T11:04:36.083256+00:00,0.02,7,2,6067,20267974,1084,233,85,21,0,304,780,55,178,4,17,156,156,0,3.2926621258666273,3.2926621258666273,0.0,4578,False,[],2520.511543035507,0.759656652360515,0.7359039836567927,0.7040464525494465,0.8323353293413174,0.1793314373192099,0.803370786516854,0.5401811955640736,38,17,39,139,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.8387096774193549,0.16650726844362188,0.8235294117647058,0.5148741494010958,3,1,4,13,B
1,2026-09-04T11:28:36.828357+00:00,0.02,7,3,6067,20268071,1043,274,85,21,0,259,784,100,174,7,14,146,146,0,3.189982056908775,3.189982056908775,0.0,3060,False,[],1440.7111675739288,0.7408759124087592,0.7194252873563218,0.7198888424932686,0.7965616045845272,0.1867819698194844,0.8079885057471264,0.5582993198630558,64,36,35,139,0.7619047619047619,0.75,0.7407407407407407,0.8148148148148148,0.17932772273246503,0.8877551020408163,0.5459055484557901,5,2,3,11,B
1,2026-09-04T12:08:55.826620+00:00,0.02,7,4,6067,20268168,1086,231,85,21,0,324,762,35,196,4,17,144,144,0,3.579145198003971,3.579145198003971,0.0,4700,False,[],2418.9634432792664,0.7056277056277056,0.6035714285714285,0.5660773480662984,0.8121546961325967,0.18367904102932422,0.6708454810495628,0.5442872954606718,16,19,49,147,0.6666666666666666,0.5073529411764706,0.505050505050505,0.7878787878787878,0.18080704926424204,0.6911764705882353,0.5411196482878531,1,3,4,13,B
1,2026-09-04T12:49:51.241735+00:00,0.02,7,5,6067,20268265,1043,274,85,21,0,261,782,98,176,7,14,159,159,0,3.448488217254635,3.448488217254635,0.0,4862,False,[],2455.3808925151825,0.5218978102189781,0.4695616883116883,0.4682921771075592,0.6371191135734072,0.2807894534780397,0.511595547309833,0.7686413191161917,28,70,61,115,0.5714285714285714,0.5,0.49867374005305043,0.6896551724137931,0.27285208543494177,0.4387755102040816,0.7537172311188138,2,5,4,10,B
1,2026-09-04T13:30:40.255664+00:00,0.02,8,1,7076,20268886,1058,259,84,22,0,281,777,78,181,5,17,157,157,0,3.260928386996966,3.260928386996966,0.0,4477,False,[],2448.97918009758,0.6795366795366795,0.6868182462105115,0.6572817855719411,0.7446153846153846,0.19292069611451163,0.7978467204986541,0.5656511280582999,55,23,60,121,0.7272727272727273,0.7529411764705882,0.6857142857142857,0.8,0.17318009393965877,0.8588235294117648,0.5262927514119746,4,1,5,12,B
1,2026-09-04T14:09:40.563525+00:00,0.02,8,2,7076,20268983,1072,245,85,21,0,301,771,58,187,5,16,150,150,0,3.51886809366988,3.51886809366988,0.0,4343,False,[],2340.28284406662,0.6448979591836734,0.5295039645952425,0.5278128530604107,0.7629427792915532,0.21344029613309243,0.588926793287848,0.6127335253185342,18,40,47,140,0.6190476190476191,0.475,0.475,0.75,0.21646222210432575,0.575,0.6204486078027244,1,4,4,12,B
1,2026-09-04T14:44:39.815894+00:00,0.02,8,3,7076,20269080,1065,252,85,21,0,272,793,87,165,6,15,145,145,0,3.5660656113468576,3.5660656113468576,0.0,3883,False,[],2099.227902650833,0.6349206349206349,0.5690700104493208,0.5698701298701299,0.7371428571428571,0.24758612356034512,0.5507488679902474,0.7120923082192175,31,56,36,129,0.7142857142857143,0.6,0.60625,0.8125,0.21431921712184537,0.6333333333333333,0.6237884745385008,2,4,2,13,B
1,2026-09-04T15:17:59.766268+00:00,0.02,8,4,7076,20269177,1020,297,85,21,0,307,713,52,245,4,17,143,143,0,2.9874518421063385,2.9874518421063385,0.0,4393,False,[],1999.9157984256744,0.7205387205387206,0.6488226059654632,0.6102300577120721,0.8175824175824176,0.1837713296438327,0.7193877551020409,0.5485226674877557,28,24,59,186,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.8823529411764706,0.1688940473381655,0.8088235294117647,0.5205193429591588,2,2,2,15,B
1,2026-09-04T15:43:12.567255+00:00,0.02,8,5,7076,20269274,1053,264,85,21,0,275,778,84,180,6,15,177,177,0,3.371628039305506,3.371628039305506,0.0,3140,False,[],1512.7756299972534,0.7462121212121212,0.7186507936507937,0.7136705787130716,0.8101983002832861,0.18138510517557957,0.8131613756613757,0.5435453051068382,54,30,37,143,0.7619047619047619,0.7333333333333334,0.7214854111405835,0.8275862068965517,0.1868143996284053,0.8333333333333334,0.5587703965534868,4,2,3,12,B
1,2026-09-04T16:17:48.559835+00:00,0.02,9,1,8085,20269895,1053,264,84,22,0,336,717,23,241,2,20,171,171,0,3.1969161450106185,3.1969161450106185,0.0,4403,False,[],2075.9561128616333,0.8143939393939394,0.8196824824102471,0.6628352490421456,0.8888888888888888,0.15406819060285398,0.8798484575139818,0.48294527858061403,19,4,45,196,0.8181818181818182,0.9,0.6944444444444444,0.8888888888888888,0.15477753716116635,0.925,0.4906290186332711,2,0,4,16,B
1,2026-09-04T16:48:34.399565+00:00,0.02,9,2,8085,20269992,1026,291,85,21,0,262,764,97,194,6,15,131,131,0,3.3336145041976124,3.3336145041976124,0.0,3725,False,[],1845.815129518509,0.7353951890034365,0.7345360824742269,0.718140307181403,0.7878787878787878,0.18617676134640052,0.7906791369964927,0.5558591848336769,71,26,51,143,0.7142857142857143,0.65,0.65,0.8,0.1797843674797199,0.8111111111111111,0.5440682137111272,3,3,3,12,B
1,2026-09-04T17:30:25.124562+00:00,0.02,9,3,8085,20270089,1047,270,85,21,0,251,796,108,162,8,13,152,152,0,3.6312235760269687,3.6312235760269687,0.0,4702,False,[],2510.690017938614,0.6666666666666666,0.5987654320987654,0.577567623948265,0.7715736040609137,0.24193171653430032,0.5884773662551441,0.7028696496161492,28,80,10,152,0.7142857142857143,0.625,0.60625,0.8125,0.2134265899760669,0.6923076923076923,0.6331836068703771,2,6,0,13,B
