schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
1,2026-07-26T15:48:45.894689+00:00,0.02,9,3,8085,20270089,1047,270,85,21,0,251,796,108,162,8,13,146,89,57,4.039983534938074,1.63951733201975,2.4004662029183237,4492,False,[],4461.410497188568,0.6370370370370371,0.5694444444444444,0.5439189189189189,0.75,0.24613635068703738,0.5797325102880658,0.7103364017789977,25,83,15,147,0.7619047619047619,0.6875,0.6920821114369502,0.8387096774193549,0.21330933191222196,0.625,0.6240017409398637,3,5,0,13
1,2026-07-26T17:13:42.416245+00:00,0.02,9,4,8085,20270186,1087,230,85,21,0,274,813,85,145,6,15,154,78,76,4.113900306441792,1.3791988614830188,2.734701444958773,4843,False,[],5096.413915872574,0.5826086956521739,0.5643002028397566,0.5619047619047619,0.6571428571428571,0.24951934339015136,0.6069776876267748,0.7063714515251945,42,43,53,92,0.5714285714285714,0.55,0.5333333333333333,0.6666666666666666,0.2368612546939715,0.6222222222222222,0.6745181065701423,3,3,6,9
1,2026-07-26T19:19:01.027782+00:00,0.02,9,5,8085,20270283,1055,262,85,21,0,313,742,46,216,4,17,136,70,66,3.9146856097504497,1.3829019537661225,2.531783655984327,7394,False,[],7518.561932325363,0.816793893129771,0.769122383252818,0.7274618585298197,0.883495145631068,0.1594196537809753,0.8012781803542672,0.5057314962834926,32,14,34,182,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.9090909090909091,0.16243846720915056,0.8382352941176471,0.5065132448456175,3,1,2,15
1,2026-07-26T20:40:00.310519+00:00,0.02,10,1,9094,20270904,1072,245,85,21,0,247,825,112,133,8,13,161,107,54,4.069890680839308,1.6453072485746816,2.424583432264626,4667,False,[],4858.761901140213,0.5183673469387755,0.506343984962406,0.501551724137931,0.593103448275862,0.32013897195332314,0.4509935553168636,0.899914639373279,41,71,47,86,0.5238095238095238,0.4951923076923077,0.4951923076923077,0.6153846153846154,0.3010163077918133,0.4423076923076923,0.8255997385988467,3,5,5,8
1,2026-07-26T22:26:03.598257+00:00,0.02,10,2,9094,20271001,1034,283,84,22,0,305,729,54,229,4,18,140,78,62,3.977435969252838,1.8063552455569152,2.1710807236959226,6025,False,[],6363.217387914658,0.823321554770318,0.7705401908458678,0.7418260108013428,0.8868778280542986,0.15684396597880917,0.8364062752709042,0.4891474696930836,37,17,33,196,0.9090909090909091,0.8472222222222222,0.8472222222222222,0.9444444444444444,0.1515388865283844,0.8749999999999999,0.48362652503312464,3,1,1,17
1,2026-07-26T23:21:19.889710+00:00,0.02,10,3,9094,20271098,1054,263,85,21,0,311,743,48,215,3,18,135,89,46,3.706410464452347,2.0012617042229977,1.7051487602293491,3442,False,[],3316.2318007946014,0.5779467680608364,0.5314922480620154,0.4923397965394314,0.7008086253369272,0.23423363931354174,0.6148255813953489,0.6576405343247146,22,26,85,130,0.5714285714285714,0.4722222222222222,0.4457478005865103,0.7096774193548387,0.2304070033676094,0.5740740740740741,0.6439581283586259,1,2,7,11
1,2026-07-27T00:30:12.373618+00:00,0.02,10,4,9094,20271195,1077,240,85,21,0,293,784,66,174,5,16,180,89,91,3.911255309722037,1.6086411600699648,2.3026141496520722,4189,False,[],4131.979714393616,0.8666666666666667,0.851619644723093,0.838655462184874,0.9058823529411765,0.14902319097977829,0.9134447927551376,0.4741584657622446,54,12,20,154,0.9523809523809523,0.96875,0.9384164222873901,0.967741935483871,0.13945869877773232,0.9625,0.46014984089072314,5,0,1,15
1,2026-07-27T01:53:46.883624+00:00,0.02,10,5,9094,20271292,1031,286,85,21,0,280,751,79,207,6,15,127,50,77,3.917887338233413,1.1059327258262783,2.811954612407135,4896,False,[],5014.4192769527435,0.7202797202797203,0.5915122607472635,0.5974099099099099,0.8198198198198198,0.19244581721325674,0.649789029535865,0.5690285816110895,24,55,25,182,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.8571428571428571,0.18483890773919143,0.7111111111111111,0.5540043389244216,1,5,0,15
1,2026-07-27T02:47:22.566357+00:00,0.02,11,1,10103,20271913,1073,244,84,22,0,295,778,64,180,5,17,171,98,73,3.9392820883149398,1.4027771627297625,2.5365049255851773,2971,False,[],3215.4466009140015,0.6721311475409836,0.5965277777777778,0.5922459893048129,0.7727272727272727,0.19431415191601487,0.7010416666666666,0.5676247195118863,28,36,44,136,0.7272727272727273,0.611764705882353,0.611764705882353,0.8235294117647058,0.19238120354216182,0.6588235294117647,0.5683594254194748,2,3,3,14
1,2026-07-27T03:49:14.783081+00:00,0.02,11,2,10103,20272010,1019,298,85,21,0,338,681,21,277,2,19,161,88,73,3.8179991168435663,1.5705916950828396,2.2474074217607267,4553,False,[],3712.062899827957,0.7986577181208053,0.7376654632972321,0.6000357909806728,0.8818897637795275,0.1576037387384169,0.8593776860924874,0.48929072751972014,14,7,53,224,0.8571428571428571,0.6973684210526316,0.6594594594594595,0.918918918918919,0.15147024146797183,0.894736842105263,0.481932580888786,1,1,2,17
