schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp,feature_block
1,2026-09-06T09:42:20.360587+00:00,0.02,3,3,2031,20264035,1024,293,85,21,0,295,729,64,229,3,18,78,0,78,3.7351743195677045,0.0,3.7351743195677045,3569,False,[],1680.4337391853333,0.7098976109215017,0.6005049126637554,0.595126233479102,0.8106904231625836,0.1915199918535054,0.7052401746724891,0.5651769355183937,26,38,47,182,0.8095238095238095,0.611111111111111,0.611111111111111,0.8888888888888888,0.1676987247416569,0.7407407407407407,0.5146338019745864,1,2,2,16,K0
1,2026-09-06T10:11:08.309431+00:00,0.02,3,4,2031,20264132,1098,219,85,21,0,284,814,75,144,6,15,85,0,85,4.257569949608296,0.0,4.257569949608296,3260,False,[],1727.9249243736267,0.5570776255707762,0.5034722222222222,0.5034013605442177,0.6666666666666666,0.24085081685430204,0.5898148148148148,0.6753734743475176,25,50,47,97,0.6190476190476191,0.5333333333333333,0.5333333333333333,0.7333333333333333,0.2196091109014128,0.6222222222222222,0.6231057966826152,2,4,4,11,K0
1,2026-09-06T10:28:39.934946+00:00,0.02,3,5,2031,20264229,1022,295,85,21,0,286,736,73,222,5,16,71,0,71,3.8459990355186164,0.0,3.8459990355186164,2407,False,[],1051.5916454792023,0.7389830508474576,0.6932617549055905,0.676078431372549,0.8188235294117647,0.20590032814373033,0.6448846106380353,0.6206242430808556,44,29,48,174,0.8095238095238095,0.80625,0.7666666666666666,0.8666666666666667,0.179474921231825,0.7625,0.553455922168937,4,1,3,13,K0
1,2026-09-06T10:54:57.059235+00:00,0.02,4,1,3040,20264850,1013,304,84,22,0,232,781,127,177,9,13,71,0,71,4.116252273111968,0.0,4.116252273111968,3087,False,[],1577.08953332901,0.6480263157894737,0.5976466924685262,0.579127149455924,0.7494145199063232,0.20586048148145972,0.7650028915877041,0.591881036458436,37,90,17,160,0.5909090909090909,0.5,0.37142857142857144,0.7428571428571429,0.18959169538698362,0.8717948717948718,0.5562490284047786,0,9,0,13,K0
1,2026-09-06T11:14:06.763821+00:00,0.02,4,2,3040,20264947,1056,261,85,21,0,258,798,101,160,6,15,90,0,90,3.9823214410798755,0.0,3.9823214410798755,2250,False,[],1149.6692025661469,0.6360153256704981,0.6008972772277228,0.6022936883471008,0.7181008902077152,0.24000200907351962,0.614480198019802,0.6946296943409324,45,56,39,121,0.7142857142857143,0.65,0.65,0.8,0.20221166496128445,0.7111111111111111,0.5991628989587928,3,3,3,12,K0
1,2026-09-06T11:42:02.979035+00:00,0.02,4,3,3040,20265044,1026,291,85,21,0,277,749,82,209,6,15,54,0,54,3.82166546798544,0.0,3.82166546798544,3513,False,[],1676.1909742355347,0.6563573883161512,0.7014820865912008,0.6416256157635468,0.7142857142857143,0.22849185941965752,0.7423853425137124,0.6588370799648401,66,16,84,125,0.7142857142857143,0.75,0.6971153846153846,0.7692307692307693,0.21952665872144494,0.7888888888888889,0.6333060131513712,5,1,5,10,K0
1,2026-09-06T12:20:05.325975+00:00,0.02,4,4,3040,20265141,1116,201,85,21,0,333,783,26,175,3,18,80,0,80,4.346151928319614,0.0,4.346151928319614,4048,False,[],2282.322520017624,0.7562189054726368,0.6635164835164835,0.6064335664335665,0.8492307692307692,0.1620071222114341,0.7806593406593406,0.49255802384562314,14,12,37,138,0.7619047619047619,0.7222222222222222,0.6464646464646464,0.8484848484848485,0.16437648086889914,0.7407407407407407,0.5001877475916054,2,1,4,14,K0
1,2026-09-06T12:41:10.269503+00:00,0.02,4,5,3040,20265238,1057,260,85,21,0,336,721,23,237,2,19,64,0,64,3.9245831314474344,0.0,3.9245831314474344,2804,False,[],1264.9201619625092,0.7038461538461539,0.3860759493670886,0.41309255079006774,0.8261851015801355,0.20280698899301244,0.3968079251513484,0.6002196754754143,0,23,54,183,0.7619047619047619,0.42105263157894735,0.43243243243243246,0.8648648648648649,0.19897870174353172,0.3157894736842105,0.5861406829898197,0,2,3,16,K0
1,2026-09-06T13:09:08.149660+00:00,0.02,5,1,4049,20265859,1043,274,84,22,0,251,792,108,166,7,15,65,0,65,3.8408338469453156,0.0,3.8408338469453156,3461,False,[],1677.8570067882538,0.7226277372262774,0.6691767068273092,0.6716078975588217,0.8010471204188482,0.20141534650438253,0.7185966086568496,0.5907533432417442,45,63,13,153,0.6363636363636364,0.5047619047619047,0.48235294117647054,0.7647058823529411,0.18617702954862034,0.7047619047619048,0.5542438041803849,1,6,2,13,K0
1,2026-09-06T13:33:24.083010+00:00,0.02,5,2,4049,20265956,1063,254,85,21,0,273,790,86,168,7,14,67,0,67,4.101814993773587,0.0,4.101814993773587,2574,False,[],1455.8981833457947,0.7125984251968503,0.7004429678848283,0.6911056691155646,0.7725856697819314,0.2058063361013788,0.7299280177187154,0.5990332569797876,57,29,44,124,0.7619047619047619,0.7857142857142857,0.7529411764705882,0.8,0.19812652499834518,0.7244897959183674,0.5834565291700312,6,1,4,10,K0
